t,survival_rate,expected_benefit,net_single_premium
190,0.5633460292386493,169.51234580902187,20989.336134287467
191,0.5616559911509333,169.00380877159478,20923.922907420838
192,0.5599710231774805,168.49679734528002,20858.693694142486
193,0.5582911101079481,167.99130695324416,20793.64788128119
194,0.5566162367776242,167.48733303238444,20728.784857199582
195,0.5549463880672914,166.98487103328728,20664.10401178803
196,0.5532815489030894,166.4839164201874,20599.604736458514
197,0.5516217042563801,165.98446467092683,20535.286424138514
198,0.549966839143611,165.48651127691403,20471.14846926492
199,0.5483169386261801,164.99005174308328,20407.190267777944
200,0.5466719878103016,164.49508158785403,20343.411217115034
201,0.5450319718468707,164.00159634309048,20279.810716204815
202,0.5433968759313301,163.50959155406122,20216.388165461034
203,0.5417666853035361,163.01906277939906,20153.142966776504
204,0.5401413852476254,162.5300055910608,20090.074523517087
205,0.5385209610918825,162.04241557428765,20027.182240515656
206,0.5369053982086068,161.55628832756474,19964.465524066072
207,0.535294682013981,161.07161946258205,19901.923781917198
208,0.5336887979679391,160.5884046041943,19839.556423266888
209,0.5320877315740353,160.10663939038173,19777.362858756005
210,0.5304914683793133,159.62631947221058,19715.342500462448
211,0.5288999939741753,159.14744051379398,19653.494761895185
212,0.5273132939922528,158.6699981922526,19591.819057988298
213,0.525731354110276,158.19398819767585,19530.314805095022
214,0.5241541600479452,157.71940623308282,19468.981420981832
215,0.5225816975678014,157.24624801438355,19407.818324822492
216,0.521013952475098,156.77450927034042,19346.82493719215
217,0.5194509106176727,156.3041857425294,19286.000680061414
218,0.5178925578858197,155.83527318530182,19225.344976790475
219,0.5163388802121622,155.36776736574592,19164.857252123198
220,0.5147898635715258,154.90166406364867,19104.536932181236
221,0.5132454939808112,154.43695907145775,19044.383444458173
222,0.5117057574988688,153.97364819424337,18984.396217813646
223,0.5101706402263723,153.51172724966065,18924.5746824675
224,0.5086401283056932,153.05119206791167,18864.918269993927
225,0.5071142079207761,152.59203849170797,18805.426413315643
226,0.5055928652970137,152.13426237623284,18746.098546698053
227,0.5040760867011227,151.67785958910412,18686.93410574343
228,0.5025638584410194,151.2228260103368,18627.93252738509
229,0.5010561668656963,150.7691575323058,18569.093249881626
230,0.49955299836509925,150.3168500597089,18510.415712811067
231,0.49805433937000393,149.86589950952978,18451.899357065115
232,0.4965601763518939,149.41630181100118,18393.54362484336
233,0.49507049582283824,148.9680529055682,18335.34795964752
234,0.49358528433536975,148.52114874685148,18277.31180627566
235,0.49210452848236363,148.07558530061092,18219.43461081645
236,0.49062821489691655,147.6313585447091,18161.715820643414
237,0.4891563302522258,147.18846446907497,18104.154884409196
238,0.48768886126146915,146.74689907566776,18046.75125203982
239,0.48622579467768473,146.30665837844077,17989.50437472897
240,0.4847671172936517,145.86773840330542,17932.413704932278
241,0.4833128159417707,145.4301351880955,17875.478696361613
242,0.4818628774939454,144.99384478253123,17818.698803979383
243,0.48041728886146357,144.55886324818363,17762.073483992837
244,0.4789760369948792,144.12518665843908,17705.602193848375
245,0.47753910888389456,143.69281109846375,17649.284392225883
246,0.4761064915572429,143.26173266516838,17593.119539033058
247,0.4746781720825711,142.83194746717288,17537.10709539973
248,0.4732541375663234,142.40345162477135,17481.246523672216
249,0.4718343751536244,141.97624126989703,17425.537287407682
250,0.47041887202816357,141.55031254608733,17369.978851368473
251,0.4690076154120791,141.12566160844906,17314.570681516492
252,0.46760059256584285,140.70228462362374,17259.31224500758
253,0.4661977907881453,140.28017776975284,17204.203010185873
254,0.4647991974157809,139.8593372364436,17149.2424465782
255,0.46340479982353355,139.43975922473427,17094.43002488846
256,0.46201458542406293,139.0214399470601,17039.765216992044
257,0.4606285416677907,138.60437562721887,16985.247495930205
258,0.45924665604278736,138.1885625003372,16930.8763359045
259,0.457868916074659,137.77399681283623,16876.651212271183
260,0.45649530932643506,137.3606748223977,16822.571601535637
261,0.45512582339845575,136.94859279793053,16768.636981346805
262,0.45376044592826037,136.53774701953674,16714.846830491617
263,0.4523991645904756,136.12813377847812,16661.200628889437
264,0.45104196709670413,135.71974937714268,16607.69785758651
265,0.449688841195414,135.31259012901123,16554.337998750412
266,0.4483397746718278,134.90665235862423,16501.120535664508
267,0.4469947553478123,134.50193240154834,16448.044952722412
268,0.44565377108176885,134.0984266043437,16395.110735422466
269,0.44431680976852356,133.69613132453065,16342.317370362212
270,0.44298385933921797,133.2950429305571,16289.664345232868
271,0.4416549077612003,132.8951578017654,16237.151148813822
272,0.4403299430379167,132.49647232836008,16184.777270967115
273,0.43900895320880295,132.098982911375,16132.542202631948
274,0.43769192634917653,131.70268596264089,16080.445435819174
275,0.436378850570129,131.30757790475295,16028.486463605816
276,0.4350697140184186,130.9136551710387,15976.664780129568
277,0.43376450487636337,130.5209142055256,15924.97988058332
278,0.43246321136173427,130.129351462909,15873.43126120968
279,0.43116582172764906,129.73896340852028,15822.018419295504
280,0.42987232426246613,129.34974651829472,15770.740853166417
281,0.42858270728967873,128.96169727873982,15719.59806218136
282,0.4272969591678097,128.57481218690364,15668.589546727133
283,0.4260150682903063,128.1890877503429,15617.714808212928
284,0.4247370230854354,127.80452048709188,15566.973349064896
285,0.4234628120161791,127.42110692563061,15516.36467272069
286,0.42219242358013054,127.03884360485372,15465.888283624034
287,0.4209258463093902,126.65772707403916,15415.543687219273
288,0.419663068770462,126.27775389281706,15365.330389945957
289,0.4184040795641506,125.89892063113861,15315.247899233404
290,0.41714886732545814,125.52122386924518,15265.295723495276
291,0.41589742072348174,125.14466019763744,15215.47337212416
292,0.4146497284613113,124.76922621704452,15165.780355486153
293,0.41340577927592737,124.3949185383934,15116.216184915453
294,0.41216556193809956,124.02173378277821,15066.780372708943
295,0.41092906525228523,123.64966858142986,15017.472432120794
296,0.40969627805652836,123.27871957568557,14968.29187735706
297,0.40846718922235875,122.90888341695852,14919.238223570279
298,0.40724178765469166,122.54015676670763,14870.310986854087
299,0.4060200622917276,122.17253629640749,14821.509684237815
300,0.4048020021048524,121.80601868751829,14772.833833681112
301,0.40358759609853784,121.44060063145572,14724.28295406856
302,0.4023768333102422,121.07627882956135,14675.856565204287
303,0.4011697028103115,120.71304999307266,14627.554187806598
304,0.3999661937018806,120.35091084309346,14579.375343502592
305,0.39876629512077494,119.98985811056417,14531.319554822794
306,0.3975699962354126,119.62988853623249,14483.38634519579
307,0.3963772862467064,119.27099887062379,14435.575238942854
308,0.39518815438796623,118.91318587401192,14387.88576127259
309,0.3940025899248023,118.55644631638988,14340.31743827557
310,0.3928205821550279,118.20077697744068,14292.869796918974
311,0.39164212040856283,117.84617464650837,14245.54236504124
312,0.39046719404733715,117.49263612256884,14198.334671346702
313,0.38929579246519513,117.14015821420115,14151.246245400253
314,0.38812790508779954,116.78873773955856,14104.276617621981
315,0.38696352137253615,116.43837152633986,14057.425319281834
316,0.38580263080841853,116.08905641176085,14010.691882494271
317,0.3846452229159933,115.74078924252557,13964.075840212921
318,0.3834912872472453,115.393566874798,13917.576726225247
319,0.3823408133855036,115.04738617417358,13871.1940751472
320,0.38119379094534706,114.70224401565108,13824.92742241789
321,0.380050209572511,114.35813728360412,13778.77630429425
322,0.3789100589437935,114.0150628717533,13732.740257845699
323,0.3777733287669621,113.67301768313806,13686.818820948814
324,0.37664000878066123,113.33199863008865,13641.011532282002
325,0.37551008875431924,112.99200263419837,13595.31793132017
326,0.37438355848805627,112.65302662629578,13549.7375583294
327,0.3732604078125921,112.31506754641688,13504.269954361618
328,0.37214062658915437,111.97812234377763,13458.914661249277
329,0.3710242047093869,111.64218797674631,13413.671221600025
330,0.3699111320952587,111.30726141281608,13368.539178791394
331,0.36880139869897294,110.97333962857762,13323.518076965469
332,0.367694994502876,110.64041960969189,13278.607461023574
333,0.3665919095193674,110.3084983508628,13233.806876620949
334,0.36549213379080925,109.97757285581022,13189.115870161435
335,0.3643956573894368,109.64764013724277,13144.533988792151
336,0.3633024704172685,109.31869721683104,13100.060780398182
337,0.3622125630060167,108.99074112518053,13055.695793597257
338,0.3611259253169986,108.663768901805,13011.438577734436
339,0.3600425475410476,108.3377775950996,12967.288682876793
340,0.3589624198984244,108.01276426231428,12923.2456598081
341,0.35788553263872913,107.68872596952733,12879.309060023514
342,0.35681187604081294,107.36565979161874,12835.478435724255
343,0.3557414404126905,107.04356281224388,12791.7533398123
344,0.35467421609145244,106.72243212380717,12748.133325885055
345,0.35361019344317807,106.40226482743573,12704.617948230054
346,0.35254936286284855,106.08305803295342,12661.20676181963
347,0.35149171477426,105.76480885885456,12617.89932230561
348,0.3504372396299372,105.44751443227801,12574.695186013989
349,0.3493859279110474,105.13117188898117,12531.593909939618
350,0.34833777012731426,104.81577837331423,12488.59505174089
351,0.34729275681693234,104.50133103819428,12445.69816973441
352,0.3462508785464815,104.1878270450797,12402.902822889697
353,0.34521212591084205,103.87526356394444,12360.20857082384
354,0.34417648953310953,103.56363777325262,12317.614973796193
355,0.3431439600645102,103.25294685993285,12275.121592703053
356,0.34211452818431665,102.94318801935306,12232.727989072335
357,0.3410881845997637,102.634358455295,12190.433725058245
358,0.3400649200459644,102.32645537992913,12148.238363435965
359,0.3390447252858265,102.01947601378933,12106.141467596315
360,0.33802759110996905,101.71341758574796,12064.142601540438
361,0.3370135083366391,101.40827733299072,12022.241329874461
362,0.3360024678116292,101.10405250099174,11980.437217804178
363,0.3349944604081943,100.80074034348876,11938.7298311297
364,0.33398947702696974,100.4983381224583,11897.11873624014
365,0.3329875085958888,100.19684310809093,11855.60350010827
366,0.33198854607010114,99.89625257876666,11814.183690285177
367,0.33099258043189084,99.59656382103036,11772.858874894942
368,0.32999960269059514,99.29777412956726,11731.62862262928
369,0.32900960388252337,98.99988080717854,11690.49250274221
370,0.3280225750708758,98.70288116475702,11649.450085044708
371,0.32703850734566314,98.40677252126272,11608.500939899348
372,0.32605739182362614,98.11155220369895,11567.644638214975
373,0.3250792196481553,97.81721754708785,11526.880751441331
374,0.3241039819892108,97.52376589444658,11486.208851563713
375,0.32313167004324317,97.23119459676325,11445.628511097613
376,0.32216227503311345,96.93950101297295,11405.139303083353
377,0.3211957882080141,96.64868250993405,11364.74080108073
378,0.32023220084339005,96.35873646240422,11324.43257916365
379,0.31927150424085987,96.06966025301702,11284.21421191475
380,0.3183136897281373,95.78145127225797,11244.08527442004
381,0.31735874865895286,95.49410691844119,11204.04534226352
382,0.316406672412976,95.20762459768586,11164.093991521804
383,0.3154574523957371,94.9220017238928,11124.230798758737
384,0.3145110800385499,94.63723571872113,11084.455341020017
385,0.31356754679843424,94.35332401156496,11044.7671958278
386,0.31262684415803893,94.07026403953027,11005.165941175315
387,0.3116889636255648,93.78805324741168,10965.651155521462
388,0.3107538967346881,93.50668908766944,10926.222417785419
389,0.30982163504448407,93.22616902040643,10886.879307341236
390,0.3088921701393506,92.94649051334522,10847.621404012432
391,0.30796549362893255,92.66765104180519,10808.448288066582
392,0.30704159714804574,92.38964808867978,10769.3595402099
393,0.3061204723566016,92.11247914441373,10730.354741581825
394,0.3052021109395318,91.83614170698048,10691.433473749596
395,0.3042865046067132,91.56063328185955,10652.595318702826
396,0.30337364509289305,91.28595138201396,10613.83985884807
397,0.30246352415761435,91.01209352786792,10575.166677003386
398,0.3015561335851415,90.73905724728431,10536.575356392894
399,0.30065146518438607,90.46684007554245,10498.065480641335
400,0.2997495107888329,90.19543955531582,10459.636633768621
401,0.2988502622564664,89.92485323664987,10421.28840018437
402,0.29795371146969696,89.65507867693992,10383.02036468246
403,0.29705985033528787,89.38611344090909,10344.832112435546
404,0.296168670784282,89.11795510058636,10306.72322898961
405,0.29528016477192914,88.8506012352846,10268.693300258466
406,0.29439432427761336,88.58404943157875,10230.741912518297
407,0.2935111413047805,88.31829728328401,10192.86865240215
408,0.29263060788086614,88.05334239143416,10155.07310689446
409,0.2917527160572235,87.78918236425984,10117.35486332554
410,0.29087745790905184,87.52581481716706,10079.713509366085
411,0.2900048255353247,87.26323737271557,10042.148633021661
412,0.28913481105871874,87.0014476605974,10004.659822627189
413,0.28826740662554257,86.74044331761563,9967.246666841424
414,0.28740260440566595,86.48022198766277,9929.908754641425
415,0.28654039659244895,86.22078132169979,9892.645675317031
416,0.2856807754026716,85.96211897773469,9855.457018465308
417,0.2848237330764636,85.70423262080148,9818.34237398501
418,0.2839692618772342,85.44711992293908,9781.301332071029
419,0.2831173540916025,85.19077856317027,9744.33348320883
420,0.28226800202932767,84.93520622748075,9707.438418168886
421,0.28142119802323967,84.68040060879831,9670.61572800111
422,0.28057693442917,84.4263594069719,9633.865004029272
423,0.27973520362588244,84.173080328751,9597.18583784541
424,0.2788959980150048,83.92056108776474,9560.577821304241
425,0.2780593100209598,83.66879940450144,9524.040546517557
426,0.2772251320908969,83.41779300628794,9487.57360584862
427,0.2763934566946242,83.16753962726906,9451.176591906542
428,0.2755642763245403,82.91803700838724,9414.849097540668
429,0.27473758349556665,82.66928289736208,9378.590715834942
430,0.27391337074507993,82.42127504867,9342.401040102266
431,0.2730916306328447,82.17401122352398,9306.279663878864
432,0.27227235574094616,81.92748918985342,9270.226180918617
433,0.2714555386737233,81.68170672228385,9234.240185187406
434,0.2706411720577021,81.43666160211698,9198.321270857447
435,0.269829248541529,81.19235161731063,9162.469032301606
436,0.2690197607959044,80.94877456245871,9126.683064087716
437,0.26821270151351667,80.70592823877132,9090.962960972882
438,0.2674080634089761,80.46381045405501,9055.308317897781
439,0.2666058392187492,80.22241902269283,9019.718729980943
440,0.26580602170109296,79.98175176562476,8984.19379251304
441,0.26500860363598966,79.74180651032789,8948.733100951153
442,0.2642135778250817,79.5025810907969,8913.336250913027
443,0.26342093709160647,79.26407334752452,8878.00283817134
444,0.26263067428033166,79.02628112748194,8842.732458647935
445,0.26184278225749064,78.78920228409949,8807.524708408055
446,0.26105725391071816,78.55283467724719,8772.379183654575
447,0.260274082148986,78.31717617321544,8737.295480722212
448,0.2594932599025391,78.0822246446958,8702.273196071741
449,0.25871478012283144,77.84797797076173,8667.311926284181
450,0.25793863578246295,77.61443403684943,8632.411268054986
451,0.2571648198751156,77.3815907347389,8597.570818188226
452,0.25639332541549026,77.14944596253467,8562.790173590753
453,0.2556241454392438,76.91799762464707,8528.068931266358
454,0.25485727300292604,76.68724363177313,8493.406688309919
455,0.25409270118391725,76.45718190087781,8458.803041901534
456,0.2533304230803655,76.22781035517517,8424.257589300658
457,0.25257043181112443,75.99912692410966,8389.76992784021
458,0.25181272051569104,75.77112954333732,8355.339654920681
459,0.251057282354144,75.54381615470732,8320.96636800423
460,0.25030411050708157,75.3171847062432,8286.649664608769
